"chr"	"starts"	"ends"	"genes"
"19589"	"chr12"	55818790	55818791	"ORMDL2"
"19590"	"chr12"	124864614	124864615	"SCARB1"
"19591"	"chr12"	56726049	56726050	"NACA"
"19592"	"chr12"	122527686	122527687	"RSRC2"
"19593"	"chr12"	123602848	123602849	"DDX55"
"19594"	"chr12"	48329729	48329730	"H1FNT"
"19595"	"chr12"	93379327	93379328	"NUDT4"
"19596"	"chr12"	56231466	56231467	"SLC39A5"
"19597"	"chr12"	6905571	6905572	"LRRC23"
"19598"	"chr12"	6925208	6925209	"ATN1"
"19599"	"chr12"	6663869	6663870	"ING4"
"19600"	"chr12"	6724795	6724796	"COPS7A"
"19601"	"chr12"	103588022	103588023	"STAB2"
"19602"	"chr12"	6494012	6494013	"MRPL51"
"19603"	"chr12"	54189735	54189736	"SMUG1"
"19604"	"chr12"	54189735	54189736	"SMUG1"
"19605"	"chr12"	54017637	54017638	"HOXC5"
"19606"	"chr12"	53677080	53677081	"ATP5MC2"
"19607"	"chr12"	53627132	53627133	"ATF7"
"19608"	"chr12"	121299058	121299059	"CAMKK2"
"19609"	"chr12"	48119979	48119980	"PFKM"
"19610"	"chr12"	48119979	48119980	"PFKM"
"19611"	"chr12"	99155516	99155517	"ANKS1B"
"19612"	"chr12"	52023581	52023582	"NR4A1"
"19613"	"chr12"	7873665	7873666	"SLC2A14"
"19614"	"chr12"	108731593	108731594	"CORO1C"
"19615"	"chr12"	96908006	96908007	"NEDD1"
"19616"	"chr12"	1629980	1629981	"WNT5B"
"19617"	"chr12"	56153336	56153337	"MYL6B"
"19618"	"chr12"	56153336	56153337	"MYL6B"
"19619"	"chr12"	98895524	98895525	"ANKS1B"
"19620"	"chr12"	121353161	121353162	"ANAPC5"
"19621"	"chr12"	12563613	12563614	"DUSP16"
"19622"	"chr12"	51239575	51239576	"DAZAP2"
"19623"	"chr12"	94651307	94651308	"TMCC3"
"19624"	"chr12"	95218495	95218496	"VEZT"
"19625"	"chr12"	6971503	6971504	"PHB2"
"19626"	"chr12"	122228206	122228207	"DIABLO"
"19627"	"chr12"	110847736	110847737	"CCDC63"
"19628"	"chr12"	109997118	109997119	"GIT2"
"19629"	"chr12"	109574543	109574544	"MVK"
"19630"	"chr12"	57605573	57605574	"DTX3"
"19631"	"chr12"	7129639	7129640	"RBP5"
"19632"	"chr12"	32679949	32679950	"DNM1L"
"19633"	"chr12"	100504109	100504110	"NR1H4"
"19634"	"chr12"	100474615	100474616	"NR1H4"
"19635"	"chr12"	100474615	100474616	"NR1H4"
"19636"	"chr12"	52407142	52407143	"KRT82"
"19637"	"chr12"	10724073	10724074	"YBX3"
"19638"	"chr12"	65170332	65170333	"LEMD3"
"19639"	"chr12"	69700053	69700054	"BEST3"
"19640"	"chr12"	57431793	57431794	"R3HDM2"
"19641"	"chr12"	65279432	65279433	"MSRB3"
"19642"	"chr12"	51049076	51049077	"LETMD1"
"19643"	"chr12"	4539219	4539220	"C12orf4"
"19644"	"chr12"	6663869	6663870	"ING4"
"19645"	"chr12"	89525546	89525547	"GALNT4"
"19646"	"chr12"	48120113	48120114	"PFKM"
"19647"	"chr12"	8990295	8990296	"KLRG1"
"19648"	"chr12"	121275335	121275336	"CAMKK2"
"19649"	"chr12"	51049076	51049077	"LETMD1"
"19650"	"chr12"	121581773	121581774	"KDM2B"
"19651"	"chr12"	52368231	52368232	"KRT85"
"19652"	"chr12"	6773269	6773270	"LAG3"
"19653"	"chr12"	27333585	27333586	"ARNTL2"
"19654"	"chr12"	6342867	6342868	"TNFRSF1A"
"19655"	"chr12"	29381922	29381923	"ERGIC2"
"19656"	"chr12"	68808921	68808922	"MDM2"
"19657"	"chr12"	81370164	81370165	"PPFIA2"
"19658"	"chr12"	81599121	81599122	"PPFIA2"
"19659"	"chr12"	81599121	81599122	"PPFIA2"
"19660"	"chr12"	81759257	81759258	"PPFIA2"
"19661"	"chr12"	10999054	10999055	"TAS2R20"
"19662"	"chr12"	56222672	56222673	"RNF41"
"19663"	"chr12"	54985512	54985513	"TESPA1"
"19664"	"chr12"	55843686	55843687	"MMP19"
"19665"	"chr12"	48005226	48005227	"COL2A1"
"19666"	"chr12"	14804419	14804420	"C12orf60"
"19667"	"chr12"	29785509	29785510	"TMTC1"
"19668"	"chr12"	55637641	55637642	"OR10P1"
"19669"	"chr12"	98516322	98516323	"TMPO"
"19670"	"chr12"	57753060	57753061	"CDK4"
"19671"	"chr12"	43836830	43836831	"TMEM117"
"19672"	"chr12"	109310034	109310035	"FOXN4"
"19673"	"chr12"	52521144	52521145	"KRT5"
"19674"	"chr12"	50112985	50112986	"COX14"
"19675"	"chr12"	118061961	118061962	"WSB2"
"19676"	"chr12"	39443870	39443871	"KIF21A"
"19677"	"chr12"	51392156	51392157	"GALNT6"
"19678"	"chr12"	130163208	130163209	"FZD10"
"19679"	"chr12"	49347637	49347638	"DNAJC22"
"19680"	"chr12"	53345543	53345544	"SP7"
"19681"	"chr12"	63669243	63669244	"DPY19L2"
"19682"	"chr12"	55967579	55967580	"CDK2"
"19683"	"chr12"	118017410	118017411	"RFC5"
"19684"	"chr12"	56190233	56190234	"SMARCC2"
"19685"	"chr12"	48119979	48119980	"PFKM"
"19686"	"chr12"	45216844	45216845	"ANO6"
"19687"	"chr12"	7191111	7191112	"PEX5"
"19688"	"chr12"	16348394	16348395	"MGST1"
"19689"	"chr12"	56159108	56159109	"MYL6"
"19690"	"chr12"	7190594	7190595	"PEX5"
"19691"	"chr12"	7190435	7190436	"PEX5"
"19692"	"chr12"	7190435	7190436	"PEX5"
"19693"	"chr12"	30755264	30755265	"CAPRIN2"
"19694"	"chr12"	53007205	53007206	"EIF4B"
"19695"	"chr12"	121017237	121017238	"C12orf43"
"19696"	"chr12"	121017237	121017238	"C12orf43"
"19697"	"chr12"	57251937	57251938	"STAC3"
"19698"	"chr12"	50397359	50397360	"FAM186A"
"19699"	"chr12"	56021654	56021655	"IKZF4"
"19700"	"chr12"	51218812	51218813	"POU6F1"
"19701"	"chr12"	32502792	32502793	"FGD4"
"19702"	"chr12"	55713055	55713056	"ITGA7"
"19703"	"chr12"	6342826	6342827	"TNFRSF1A"
"19704"	"chr12"	117100166	117100167	"TESC"
"19705"	"chr12"	110584068	110584069	"PPTC7"
"19706"	"chr12"	63845449	63845450	"SRGAP1"
"19707"	"chr12"	53252844	53252845	"MFSD5"
"19708"	"chr12"	52452896	52452897	"KRT6B"
"19709"	"chr12"	52494007	52494008	"KRT6A"
"19710"	"chr12"	120303070	120303071	"SIRT4"
"19711"	"chr12"	52602213	52602214	"KRT72"
"19712"	"chr12"	55721142	55721143	"RDH5"
"19713"	"chr12"	55721142	55721143	"RDH5"
"19714"	"chr12"	32765	32766	"WASH8P"
"19715"	"chr12"	38883	38884	"FAM138D"
"19716"	"chr12"	78125	78126	"IQSEC3"
"19717"	"chr12"	149919	149920	"LOC574538"
"19718"	"chr12"	204394	204395	"LOC101929384"
"19719"	"chr12"	263623	263624	"SLC6A13"
"19720"	"chr12"	258049	258050	"LOC102723544"
"19721"	"chr12"	390099	390100	"CCDC77"
"19722"	"chr12"	587236	587237	"LOC105369595"
"19723"	"chr12"	631640	631641	"LOC100049716"
"19724"	"chr12"	1501240	1501241	"LINC00942"
"19725"	"chr12"	1661130	1661131	"MIR3649"
"19726"	"chr12"	1937326	1937327	"LINC00940"
"19727"	"chr12"	2005285	2005286	"DCP1B"
"19728"	"chr12"	2049101	2049102	"CACNA1C.IT2"
"19729"	"chr12"	106956471	106956472	"TMEM263"
"19730"	"chr12"	106956471	106956472	"TMEM263"
"19731"	"chr12"	106957534	106957535	"TMEM263"
"19732"	"chr12"	106956471	106956472	"TMEM263"
"19733"	"chr12"	31074609	31074610	"DDX11"
"19734"	"chr12"	2224231	2224232	"CACNA1C.AS4"
"19735"	"chr12"	2270525	2270526	"CACNA1C.IT3"
"19736"	"chr12"	2672970	2672971	"CACNA1C.AS2"
"19737"	"chr12"	2691907	2691908	"CACNA1C.AS1"
"19738"	"chr12"	2813674	2813675	"ITFG2.AS1"
"19739"	"chr12"	2813674	2813675	"ITFG2.AS1"
"19740"	"chr12"	2877948	2877949	"RHNO1"
"19741"	"chr12"	3366872	3366873	"LOC100128253"
"19742"	"chr12"	3368857	3368858	"LINC02417"
"19743"	"chr12"	3382098	3382099	"PRMT8"
"19744"	"chr12"	3493569	3493570	"THCAT155"
"19745"	"chr12"	3874198	3874199	"PARP11"
"19746"	"chr12"	4276227	4276228	"CCND2.AS1"
"19747"	"chr12"	4276227	4276228	"CCND2.AS1"
"19748"	"chr12"	4276934	4276935	"CCND2.AS1"
"19749"	"chr12"	4539258	4539259	"C12orf4"
"19750"	"chr12"	4539258	4539259	"C12orf4"
"19751"	"chr12"	4539258	4539259	"C12orf4"
"19752"	"chr12"	4539258	4539259	"C12orf4"
"19753"	"chr12"	4539258	4539259	"C12orf4"
"19754"	"chr12"	4539258	4539259	"C12orf4"
"19755"	"chr12"	4539258	4539259	"C12orf4"
"19756"	"chr12"	4539258	4539259	"C12orf4"
"19757"	"chr12"	4539258	4539259	"C12orf4"
"19758"	"chr12"	4720852	4720853	"GAU1"
"19759"	"chr12"	5243901	5243902	"LINC02443"
"19760"	"chr12"	5243901	5243902	"LINC02443"
"19761"	"chr12"	6040933	6040934	"SNORA120"
"19762"	"chr12"	6452267	6452268	"CD27.AS1"
"19763"	"chr12"	6510971	6510972	"SCARNA10"
"19764"	"chr12"	6556833	6556834	"IFFO1"
"19765"	"chr12"	6582359	6582360	"SCARNA11"
"19766"	"chr12"	6890108	6890109	"LOC105369632"
"19767"	"chr12"	6884730	6884731	"RPL13P5"
"19768"	"chr12"	6885431	6885432	"DSTNP2"
"19769"	"chr12"	6944565	6944566	"RNU7.1"
"19770"	"chr12"	6944566	6944567	"C12orf57"
"19771"	"chr12"	6963994	6963995	"MIR200CHG"
"19772"	"chr12"	6968356	6968357	"SCARNA12"
"19773"	"chr12"	7109057	7109058	"C1RL.AS1"
"19774"	"chr12"	57772855	57772856	"METTL1"
"19775"	"chr12"	57783536	57783537	"TSFM"
"19776"	"chr12"	118377304	118377305	"SUDS3"
"19777"	"chr12"	8082960	8082961	"NECAP1"
"19778"	"chr12"	8135602	8135603	"POU5F1P3"
"19779"	"chr12"	8180958	8180959	"FAM66C"
"19780"	"chr12"	8243696	8243697	"FAM86FP"
"19781"	"chr12"	8236164	8236165	"LINC02449"
"19782"	"chr12"	8236164	8236165	"LINC02449"
"19783"	"chr12"	8391502	8391503	"LINC00937"
"19784"	"chr12"	8682426	8682427	"RIMKLB"
"19785"	"chr12"	8697932	8697933	"RIMKLB"
"19786"	"chr12"	8698649	8698650	"RIMKLB"
"19787"	"chr12"	8698649	8698650	"RIMKLB"
"19788"	"chr12"	8698649	8698650	"RIMKLB"
"19789"	"chr12"	8698649	8698650	"RIMKLB"
"19790"	"chr12"	8845753	8845754	"A2ML1"
"19791"	"chr12"	9065820	9065821	"LINC00612"
"19792"	"chr12"	9065926	9065927	"A2M.AS1"
"19793"	"chr12"	9065926	9065927	"A2M.AS1"
"19794"	"chr12"	9065926	9065927	"A2M.AS1"
"19795"	"chr12"	53380925	53380926	"SP1"
"19796"	"chr12"	9234957	9234958	"A2MP1"
"19797"	"chr12"	9240301	9240302	"MIR1244.1"
"19798"	"chr12"	9240301	9240302	"MIR1244.2"
"19799"	"chr12"	9240301	9240302	"MIR1244.3"
"19800"	"chr12"	9240301	9240302	"MIR1244.4"
"19801"	"chr12"	9240752	9240753	"LINC00987"
"19802"	"chr12"	9240752	9240753	"LINC00987"
"19803"	"chr12"	9240752	9240753	"LINC00987"
"19804"	"chr12"	9240752	9240753	"LINC00987"
"19805"	"chr12"	9240752	9240753	"LINC00987"
"19806"	"chr12"	9240752	9240753	"LINC00987"
"19807"	"chr12"	9240752	9240753	"LINC00987"
"19808"	"chr12"	9240752	9240753	"LINC00987"
"19809"	"chr12"	9240752	9240753	"LINC00987"
"19810"	"chr12"	9284406	9284407	"LOC642846"
"19811"	"chr12"	9368213	9368214	"LINC02367"
"19812"	"chr12"	9382172	9382173	"LOC101928030"
"19813"	"chr12"	9408164	9408165	"LOC728715"
"19814"	"chr12"	9448922	9448923	"DDX12P"
"19815"	"chr12"	9512409	9512410	"OVOS"
"19816"	"chr12"	9618033	9618034	"LOC374443"
"19817"	"chr12"	9634168	9634169	"LOC374443"
"19818"	"chr12"	9643617	9643618	"LOC374443"
"19819"	"chr12"	9648668	9648669	"LOC374443"
"19820"	"chr12"	9648796	9648797	"LOC374443"
"19821"	"chr12"	9648796	9648797	"LOC374443"
"19822"	"chr12"	9648796	9648797	"LOC374443"
"19823"	"chr12"	9648796	9648797	"LOC374443"
"19824"	"chr12"	9648796	9648797	"LOC374443"
"19825"	"chr12"	9944245	9944246	"LINC02470"
"19826"	"chr12"	9954087	9954088	"CLEC12A.AS1"
"19827"	"chr12"	10011376	10011377	"CLEC12B"
"19828"	"chr12"	10011376	10011377	"CLEC12B"
"19829"	"chr12"	10011376	10011377	"CLEC12B"
"19830"	"chr12"	10031356	10031357	"LOC102724020"
"19831"	"chr12"	10421345	10421346	"KLRC3"
"19832"	"chr12"	10308567	10308568	"KLRD1"
"19833"	"chr12"	10339042	10339043	"LINC02617"
"19834"	"chr12"	10364518	10364519	"LOC101928100"
"19835"	"chr12"	42326916	42326917	"PPHLN1"
"19836"	"chr12"	10506642	10506643	"EIF2S3B"
"19837"	"chr12"	10554128	10554129	"LINC02446"
"19838"	"chr12"	10554128	10554129	"LINC02446"
"19839"	"chr12"	10600585	10600586	"KLRA1P"
"19840"	"chr12"	52835061	52835062	"KRT79"
"19841"	"chr12"	11172375	11172376	"PRH1.PRR4"
"19842"	"chr12"	79914661	79914662	"PPP1R12A"
"19843"	"chr12"	100795525	100795526	"ANO4"
"19844"	"chr12"	11487428	11487429	"LOC440084"
"19845"	"chr12"	11548779	11548780	"LINC01252"
"19846"	"chr12"	12112701	12112702	"MIR1244.1"
"19847"	"chr12"	12112701	12112702	"MIR1244.2"
"19848"	"chr12"	12112701	12112702	"MIR1244.3"
"19849"	"chr12"	12112701	12112702	"MIR1244.4"
"19850"	"chr12"	12357817	12357818	"LOH12CR2"
"19851"	"chr12"	48005226	48005227	"COL2A1"
"19852"	"chr12"	12876226	12876227	"RPL13AP20"
"19853"	"chr12"	12916578	12916579	"MIR614"
"19854"	"chr12"	12928475	12928476	"GPRC5D.AS1"
"19855"	"chr12"	12928475	12928476	"GPRC5D.AS1"
"19856"	"chr12"	12928475	12928476	"GPRC5D.AS1"
"19857"	"chr12"	12928475	12928476	"GPRC5D.AS1"
"19858"	"chr12"	12928475	12928476	"GPRC5D.AS1"
"19859"	"chr12"	12928475	12928476	"GPRC5D.AS1"
"19860"	"chr12"	12980586	12980587	"GPRC5D.AS1"
"19861"	"chr12"	13001191	13001192	"HTR7P1"
"19862"	"chr12"	122183872	122183873	"LRRC43"
"19863"	"chr12"	13104417	13104418	"GSG1"
"19864"	"chr12"	13104417	13104418	"GSG1"
"19865"	"chr12"	13377495	13377496	"LINC01559"
"19866"	"chr12"	14568481	14568482	"PLBD1.AS1"
"19867"	"chr12"	14775085	14775086	"H2AFJ"
"19868"	"chr12"	14929875	14929876	"ERP27"
"19869"	"chr12"	14951856	14951857	"ARHGDIB"
"19870"	"chr12"	14951901	14951902	"ARHGDIB"
"19871"	"chr12"	15002582	15002583	"LINC01489"
"19872"	"chr12"	15152672	15152673	"RERG.AS1"
"19873"	"chr12"	95218556	95218557	"VEZT"
"19874"	"chr12"	95218556	95218557	"VEZT"
"19875"	"chr12"	95218556	95218557	"VEZT"
"19876"	"chr12"	95218556	95218557	"VEZT"
"19877"	"chr12"	16348392	16348393	"MGST1"
"19878"	"chr12"	16348527	16348528	"MGST1"
"19879"	"chr12"	16608964	16608965	"LMO3"
"19880"	"chr12"	16608964	16608965	"LMO3"
"19881"	"chr12"	16608964	16608965	"LMO3"
"19882"	"chr12"	16989496	16989497	"SKP1P2"
"19883"	"chr12"	17589828	17589829	"LINC02378"
"19884"	"chr12"	17674048	17674049	"MIR3974"
"19885"	"chr12"	18090943	18090944	"RERGL"
"19886"	"chr12"	18090943	18090944	"RERGL"
"19887"	"chr12"	18738259	18738260	"PLCZ1"
"19888"	"chr12"	20015434	20015435	"LINC02398"
"19889"	"chr12"	20128651	20128652	"LINC02468"
"19890"	"chr12"	80938457	80938458	"LIN7A"
"19891"	"chr12"	80938457	80938458	"LIN7A"
"19892"	"chr12"	20572613	20572614	"PDE3A"
"19893"	"chr12"	20696104	20696105	"SLCO1C1"
"19894"	"chr12"	20696214	20696215	"SLCO1C1"
"19895"	"chr12"	80936583	80936584	"MIR618"
"19896"	"chr12"	22046923	22046924	"CMAS"
"19897"	"chr12"	22335464	22335465	"ST8SIA1"
"19898"	"chr12"	22625796	22625797	"LOC105369691"
"19899"	"chr12"	22625796	22625797	"LOC105369691"
"19900"	"chr12"	23176385	23176386	"LOC101928441"
"19901"	"chr12"	24213170	24213171	"MIR920"
"19902"	"chr12"	24224020	24224021	"SOX5.AS1"
"19903"	"chr12"	24224020	24224021	"SOX5.AS1"
"19904"	"chr12"	25052977	25052978	"LRMP"
"19905"	"chr12"	25052977	25052978	"LRMP"
"19906"	"chr12"	25052977	25052978	"LRMP"
"19907"	"chr12"	25052977	25052978	"LRMP"
"19908"	"chr12"	25052977	25052978	"LRMP"
"19909"	"chr12"	25052977	25052978	"LRMP"
"19910"	"chr12"	25052977	25052978	"LRMP"
"19911"	"chr12"	25052977	25052978	"LRMP"
"19912"	"chr12"	57251937	57251938	"STAC3"
"19913"	"chr12"	25554033	25554034	"LMNTD1"
"19914"	"chr12"	25554033	25554034	"LMNTD1"
"19915"	"chr12"	25554033	25554034	"LMNTD1"
"19916"	"chr12"	25874829	25874830	"MIR4302"
"19917"	"chr12"	25958335	25958336	"RASSF8.AS1"
"19918"	"chr12"	25960192	25960193	"RASSF8.AS1"
"19919"	"chr12"	9761651	9761652	"CD69"
"19920"	"chr12"	27023271	27023272	"MED21"
"19921"	"chr12"	27023271	27023272	"MED21"
"19922"	"chr12"	27023271	27023272	"MED21"
"19923"	"chr12"	27447384	27447385	"ARNTL2.AS1"
"19924"	"chr12"	27711522	27711523	"MRPS35"
"19925"	"chr12"	28191488	28191489	"LOC729291"
"19926"	"chr12"	29318598	29318599	"LOC100506606"
"19927"	"chr12"	29390043	29390044	"OVCH1.AS1"
"19928"	"chr12"	29390043	29390044	"OVCH1.AS1"
"19929"	"chr12"	29390043	29390044	"OVCH1.AS1"
"19930"	"chr12"	30755823	30755824	"LOC645485"
"19931"	"chr12"	95943364	95943365	"CCDC38"
"19932"	"chr12"	31074597	31074598	"DDX11.AS1"
"19933"	"chr12"	8228368	8228369	"FAM90A1"
"19934"	"chr12"	31201985	31201986	"OVOS2"
"19935"	"chr12"	31325065	31325066	"FLJ13224"
"19936"	"chr12"	31370051	31370052	"LINC02387"
"19937"	"chr12"	31591192	31591193	"DENND5B"
"19938"	"chr12"	31590672	31590673	"DENND5B.AS1"
"19939"	"chr12"	31647909	31647910	"ETFBKMT"
"19940"	"chr12"	31729924	31729925	"AMN1"
"19941"	"chr12"	31729924	31729925	"AMN1"
"19942"	"chr12"	31729924	31729925	"AMN1"
"19943"	"chr12"	31729924	31729925	"AMN1"
"19944"	"chr12"	31887953	31887954	"LINC02422"
"19945"	"chr12"	105108480	105108481	"WASHC4"
"19946"	"chr12"	40156988	40156989	"LINC02471"
"19947"	"chr12"	79935701	79935702	"PPP1R12A"
"19948"	"chr12"	109901326	109901327	"TCHP"
"19949"	"chr12"	41764938	41764939	"LINC02400"
"19950"	"chr12"	41764938	41764939	"LINC02400"
"19951"	"chr12"	42239118	42239119	"YAF2"
"19952"	"chr12"	42239118	42239119	"YAF2"
"19953"	"chr12"	42239118	42239119	"YAF2"
"19954"	"chr12"	42239118	42239119	"YAF2"
"19955"	"chr12"	42239118	42239119	"YAF2"
"19956"	"chr12"	42239118	42239119	"YAF2"
"19957"	"chr12"	42324609	42324610	"MIR7851"
"19958"	"chr12"	29224415	29224416	"FAR2"
"19959"	"chr12"	29224415	29224416	"FAR2"
"19960"	"chr12"	100594367	100594368	"GAS2L3"
"19961"	"chr12"	42647248	42647249	"LINC02402"
"19962"	"chr12"	42647332	42647333	"LINC02451"
"19963"	"chr12"	42647332	42647333	"LINC02451"
"19964"	"chr12"	42692965	42692966	"LINC02450"
"19965"	"chr12"	43156064	43156065	"LINC02461"
"19966"	"chr12"	48972485	48972486	"WNT10B"
"19967"	"chr12"	43836610	43836611	"TMEM117"
"19968"	"chr12"	43836610	43836611	"TMEM117"
"19969"	"chr12"	43836610	43836611	"TMEM117"
"19970"	"chr12"	44876411	44876412	"NELL2"
"19971"	"chr12"	44877600	44877601	"NELL2"
"19972"	"chr12"	44914678	44914679	"NELL2"
"19973"	"chr12"	45066161	45066162	"RACGAP1P"
"19974"	"chr12"	45216756	45216757	"PLEKHA8P1"
"19975"	"chr12"	45728671	45728672	"LINC00938"
"19976"	"chr12"	46384425	46384426	"LOC100288798"
"19977"	"chr12"	46384425	46384426	"LOC100288798"
"19978"	"chr12"	46384425	46384426	"LOC100288798"
"19979"	"chr12"	46384425	46384426	"LOC100288798"
"19980"	"chr12"	46384856	46384857	"LOC100288798"
"19981"	"chr12"	54635645	54635646	"LACRT"
"19982"	"chr12"	47080352	47080353	"PCED1B"
"19983"	"chr12"	47188561	47188562	"MIR4698"
"19984"	"chr12"	47308149	47308150	"LOC105369747"
"19985"	"chr12"	47365019	47365020	"MIR4494"
"19986"	"chr12"	47415757	47415758	"LINC02156"
"19987"	"chr12"	47706811	47706812	"RPAP3"
"19988"	"chr12"	47706811	47706812	"RPAP3"
"19989"	"chr12"	20696104	20696105	"SLCO1C1"
"19990"	"chr12"	32502792	32502793	"FGD4"
"19991"	"chr12"	32486721	32486722	"FGD4"
"19992"	"chr12"	47964296	47964297	"TMEM106C"
"19993"	"chr12"	47964296	47964297	"TMEM106C"
"19994"	"chr12"	10410507	10410508	"KLRC4"
"19995"	"chr12"	75331074	75331075	"CAPS2"
"19996"	"chr12"	75331074	75331075	"CAPS2"
"19997"	"chr12"	48133546	48133547	"MIR6505"
"19998"	"chr12"	95474901	95474902	"METAP2"
"19999"	"chr12"	55843686	55843687	"MMP19"
"20000"	"chr12"	48655268	48655269	"SNORA2C"
"20001"	"chr12"	48655280	48655281	"MIR1291"
"20002"	"chr12"	48657532	48657533	"SNORA2A"
"20003"	"chr12"	48668343	48668344	"SNORA2B"
"20004"	"chr12"	48772787	48772788	"MIR4701"
"20005"	"chr12"	95218495	95218496	"VEZT"
"20006"	"chr12"	95218495	95218496	"VEZT"
"20007"	"chr12"	48926297	48926298	"FKBP11"
"20008"	"chr12"	48999096	48999097	"DDN.AS1"
"20009"	"chr12"	48999096	48999097	"DDN.AS1"
"20010"	"chr12"	49111650	49111651	"LMBR1L"
"20011"	"chr12"	49111650	49111651	"LMBR1L"
"20012"	"chr12"	49111650	49111651	"LMBR1L"
"20013"	"chr12"	49111650	49111651	"LMBR1L"
"20014"	"chr12"	49111650	49111651	"LMBR1L"
"20015"	"chr12"	49111650	49111651	"LMBR1L"
"20016"	"chr12"	49111650	49111651	"LMBR1L"
"20017"	"chr12"	49111650	49111651	"LMBR1L"
"20018"	"chr12"	49111650	49111651	"LMBR1L"
"20019"	"chr12"	49111650	49111651	"LMBR1L"
"20020"	"chr12"	49325326	49325327	"LOC101927267"
"20021"	"chr12"	53452851	53452852	"PCBP2"
"20022"	"chr12"	53452851	53452852	"PCBP2"
"20023"	"chr12"	49367654	49367655	"SPATS2"
"20024"	"chr12"	49389923	49389924	"LOC100335030"
"20025"	"chr12"	49624369	49624370	"PRPF40B"
"20026"	"chr12"	49829292	49829293	"BCDIN3D.AS1"
"20027"	"chr12"	49829292	49829293	"BCDIN3D.AS1"
"20028"	"chr12"	49829292	49829293	"BCDIN3D.AS1"
"20029"	"chr12"	49912613	49912614	"LINC02396"
"20030"	"chr12"	49912613	49912614	"LINC02396"
"20031"	"chr12"	49912702	49912703	"LINC02395"
"20032"	"chr12"	94460738	94460739	"CEP83"
"20033"	"chr12"	12814095	12814096	"DDX47"
"20034"	"chr12"	51049076	51049077	"LETMD1"
"20035"	"chr12"	39626932	39626933	"C12orf40"
"20036"	"chr12"	50234962	50234963	"MIR1293"
"20037"	"chr12"	54649115	54649116	"DCD"
"20038"	"chr12"	50457320	50457321	"SNORD133"
"20039"	"chr12"	51048969	51048970	"LETMD1"
"20040"	"chr12"	51324924	51324925	"BIN2"
"20041"	"chr12"	51324924	51324925	"BIN2"
"20042"	"chr12"	51324924	51324925	"BIN2"
"20043"	"chr12"	51324924	51324925	"BIN2"
"20044"	"chr12"	51325418	51325419	"BIN2"
"20045"	"chr12"	51392066	51392067	"SLC4A8"
"20046"	"chr12"	51392066	51392067	"SLC4A8"
"20047"	"chr12"	51425866	51425867	"SLC4A8"
"20048"	"chr12"	30796430	30796431	"LINC00941"
"20049"	"chr12"	51954129	51954130	"ACVR1B"
"20050"	"chr12"	52008405	52008406	"GRASP.AS1"
"20051"	"chr12"	132888368	132888369	"CHFR"
"20052"	"chr12"	52085495	52085496	"OR7E47P"
"20053"	"chr12"	52085495	52085496	"OR7E47P"
"20054"	"chr12"	52094318	52094319	"OR7E47P"
"20055"	"chr12"	52211679	52211680	"LINC00592"
"20056"	"chr12"	52248198	52248199	"KRT7.AS"
"20057"	"chr12"	52259258	52259259	"KRT87P"
"20058"	"chr12"	113335918	113335919	"SLC8B1"
"20059"	"chr12"	52610600	52610601	"KRT73.AS1"
"20060"	"chr12"	53055188	53055189	"LOC283335"
"20061"	"chr12"	53057693	53057694	"MIR6757"
"20062"	"chr12"	53165243	53165244	"CSAD"
"20063"	"chr12"	6535266	6535267	"GAPDH"
"20064"	"chr12"	6535266	6535267	"GAPDH"
"20065"	"chr12"	53252335	53252336	"MFSD5"
"20066"	"chr12"	53296200	53296201	"PFDN5"
"20067"	"chr12"	53627132	53627133	"ATF7.NPFF"
"20068"	"chr12"	53627132	53627133	"ATF7.NPFF"
"20069"	"chr12"	25052977	25052978	"LRMP"
"20070"	"chr12"	53514733	53514734	"LOC100652999"
"20071"	"chr12"	25052977	25052978	"LRMP"
"20072"	"chr12"	53752585	53752586	"CISTR"
"20073"	"chr12"	53757784	53757785	"CISTR"
"20074"	"chr12"	53940393	53940394	"HOXC13.AS"
"20075"	"chr12"	53997535	53997536	"HOXC.AS2"
"20076"	"chr12"	54000760	54000761	"HOXC.AS1"
"20077"	"chr12"	54059003	54059004	"FLJ12825"
"20078"	"chr12"	54082573	54082574	"LOC100240735"
"20079"	"chr12"	54102958	54102959	"LOC100240734"
"20080"	"chr12"	54126820	54126821	"LINC02381"
"20081"	"chr12"	54189707	54189708	"SMUG1"
"20082"	"chr12"	54189707	54189708	"SMUG1"
"20083"	"chr12"	54189707	54189708	"SMUG1"
"20084"	"chr12"	54189707	54189708	"SMUG1"
"20085"	"chr12"	54189707	54189708	"SMUG1"
"20086"	"chr12"	54189707	54189708	"SMUG1"
"20087"	"chr12"	54189707	54189708	"SMUG1"
"20088"	"chr12"	54189707	54189708	"SMUG1"
"20089"	"chr12"	54189707	54189708	"SMUG1"
"20090"	"chr12"	54189707	54189708	"SMUG1"
"20091"	"chr12"	54189707	54189708	"SMUG1"
"20092"	"chr12"	54189744	54189745	"SMUG1"
"20093"	"chr12"	54189744	54189745	"SMUG1"
"20094"	"chr12"	54189744	54189745	"SMUG1"
"20095"	"chr12"	54189744	54189745	"SMUG1"
"20096"	"chr12"	54189744	54189745	"SMUG1"
"20097"	"chr12"	54189744	54189745	"SMUG1"
"20098"	"chr12"	54189744	54189745	"SMUG1"
